document,page,file,pixel_width,pixel_height,sha256
LAW1,64,04_visuals/page_renders/law-1_page_064.png,1240,1753,bbc384ba5ec28a4c556aa7612d98e22c24b6710916bfbb10d25c366fd62f7524
LAW1,65,04_visuals/page_renders/law-1_page_065.png,1240,1753,f40e3bedc5443a60b2a95ccff90bd518922f99a626196ae2ae1065a6ed73178b
LAW1,66,04_visuals/page_renders/law-1_page_066.png,1240,1753,f2a7258e6364e21235c61427f19b10b7fbff0bfe58f38296607f06eb5ccc9094
LAW1,68,04_visuals/page_renders/law-1_page_068.png,1240,1753,6697e682a764cd94b5c497f4a2d9de9b2ccc89ec332157b43381c257daafa823
LAW1,69,04_visuals/page_renders/law-1_page_069.png,1240,1753,c87b1cc5b6f297b468a8f19c685aae2f36beb89fca5bf32e787af356314d8112
LAW1,70,04_visuals/page_renders/law-1_page_070.png,1240,1753,22dd130740046fb24b60168a37c15d07b1cb4a2fbd01ed1afc04c6e9156ed80a
LAW1,71,04_visuals/page_renders/law-1_page_071.png,1240,1753,ccb7a7a6251e4156744ad7796c8d1d180e27df745c02181709499d18d53b4096
LAW1,72,04_visuals/page_renders/law-1_page_072.png,1240,1753,d7b99d61331c817c23a8840c96cbbbc1193699a474c38bb1cc3464824f398cdb
LAW1,73,04_visuals/page_renders/law-1_page_073.png,1240,1753,4d2226eb570914208923d8d3b0b4b8826650c181478e57b31c8891ac7f3d88f9
LAW1,74,04_visuals/page_renders/law-1_page_074.png,1240,1753,b8bb7224f5af18dc594b0d0a621aa722b2b66ab8470387a0551b9c038d58e82e
LAW1,75,04_visuals/page_renders/law-1_page_075.png,1240,1753,523444e64af4e0bba799b980ac2c1140993f81d8489162b23d0ead096c76b087
LAW1,76,04_visuals/page_renders/law-1_page_076.png,1240,1753,407005c52cc6582edec6850dfc1f3c6745ecd9954e6d5660992bf6ec1377519b
LAW1,77,04_visuals/page_renders/law-1_page_077.png,1240,1753,5e62917fa493da1d3a36bd22dfdffb0a6f5709f5fdd419b2d19dcc94b4c7cf1f
LAW1,78,04_visuals/page_renders/law-1_page_078.png,1240,1753,e2aeefaac131890fa3b1ea804430e3ff662ac5996077d698db78cc02be1ba918
LAW1,79,04_visuals/page_renders/law-1_page_079.png,1753,1240,a91e712f385ff7828728c8e8db38b42f88a95a66ce78c783b9078afe93f66ef8
LAW1,80,04_visuals/page_renders/law-1_page_080.png,1753,1240,3d1d681f59e4f539572198703db57221a9aa4b1863a839c95c4a378cb87fdc20
LAW1,81,04_visuals/page_renders/law-1_page_081.png,1753,1240,348facaa050450aee5fe8cf96d7813febe6d6117dcf0713c221051a5b18905e3
LAW1,82,04_visuals/page_renders/law-1_page_082.png,1753,1240,980e1a5d142639460eae34fc3cc0c691806c4b122cabdde10a5a84f2f2dc572d
LAW1,83,04_visuals/page_renders/law-1_page_083.png,1753,1240,17567eade9c79aa23caa7df4f69af547fefcd279bded3e96478b1cd85d00ffb3
LAW1,84,04_visuals/page_renders/law-1_page_084.png,1753,1240,558f281f5fda274fac5886332a26a4b68b600bdf8e3f783ad148d3fd8cc47185
LAW2,1,04_visuals/page_renders/law-2_page_001.png,1240,1755,664d0a8ff021aaa0a98c26dd09cdc2fddbf203ae9ac3d29550be178811be95a7
