xref,smask,width_px,height_px,bpc,colorspace,name,filter,file,rendered_width_px,rendered_height_px,channels,sha256,bytes,duplicate_xrefs,is_duplicate_content
1334,0,378,265,1,,Im63,FlateDecode,xref_01334.png,378,265,1,be4f5b9ed6eaee0bf921d8e542a12a8d497992393729049097993714f41e641e,3439,"734,1334",True
1335,0,378,265,1,,Im64,FlateDecode,xref_01335.png,378,265,1,2b74c5adc91c3df1b0fe745f7445b6b28a7f6de7ba02ef7e2882c92a28b79a56,3253,"736,1335",True
1346,0,378,265,1,,Im65,FlateDecode,xref_01346.png,378,265,1,9b0be04496e008b6d985c2319602430ab345b05889432b1885aedba26c702e2f,3340,"739,1346",True
1347,0,378,265,1,,Im66,FlateDecode,xref_01347.png,378,265,1,e2e6739573038e87778fb90e13fd591273a2edc73cb5303d7962c5658b59a96e,3509,"765,1347",True
1348,0,378,265,1,,Im67,FlateDecode,xref_01348.png,378,265,1,9b1817713b74b9db0c18c3ec6e4cec51ed8ca944d853715316c733f57f219eda,3228,"741,1348",True
1349,0,378,265,1,,Im68,FlateDecode,xref_01349.png,378,265,1,6ba4ed1335fbe75942ce1eece4d4b3ed18014dd9560ad002f8ad0dac381e82a4,3033,"773,1349",True
1358,0,903,632,1,,Im69,FlateDecode,xref_01358.png,903,632,1,313fe6be51559e02ec1321f8053309025a663960772bac5bfcd44eba29beddd1,18139,"786,1208,1358",True
1359,0,903,632,1,,Im70,FlateDecode,xref_01359.png,903,632,1,d004712b04acb4a25075542d24fb6b62e71cecc40af8c63cad7782cfeb008f7f,18031,"788,1209,1359",True
1376,0,511,336,8,DeviceRGB,Im71,DCTDecode,xref_01376.png,511,336,3,03d0c06105eb7de5ad4c2f7180e987052af3ca590c1ef67ef8a36221de5be731,74085,1376,False
1377,0,501,336,8,DeviceRGB,Im72,DCTDecode,xref_01377.png,501,336,3,022071ee20f0a83afdd55a3914b1211e099dbced73c55eaf3b8c55f80a3b91c2,77079,1377,False
1433,0,135,106,8,DeviceRGB,Im73,FlateDecode,xref_01433.png,135,106,3,ad0014bf0a260b5d5c749f7ccc2b7f014c84a065512fd6b33a1574c72524f7e4,356,1433,False
1444,0,95,106,8,DeviceRGB,Im74,FlateDecode,xref_01444.png,95,106,3,61db8c68b6a6cfcccdbd6f0937a30c714bdec4db4ef459f1bd67b10b9dd9240b,318,1444,False
